provincia,departamento,m202108
Buenos Aires,25 de Mayo,82477
Buenos Aires,9 de Julio,88887
Buenos Aires,Adolfo Alsina,91610
Buenos Aires,Adolfo Gonzales Chaves,85457
Buenos Aires,Alberti,94192
Buenos Aires,Almirante Brown,96902
Buenos Aires,Arrecifes,88141
Buenos Aires,Avellaneda,102284
Buenos Aires,Ayacucho,78589
Buenos Aires,Azul,97030
Buenos Aires,Bahía Blanca,114975
Buenos Aires,Balcarce,96428
Buenos Aires,Baradero,113433
Buenos Aires,Benito Juárez,81940
Buenos Aires,Berazategui,98996
Buenos Aires,Berisso,100788
Buenos Aires,Bolívar,88221
Buenos Aires,Bragado,94879
Buenos Aires,Brandsen,91418
Buenos Aires,Campana,125188
Buenos Aires,Capitán Sarmiento,103406
Buenos Aires,Carlos Casares,85941
Buenos Aires,Carlos Tejedor,83025
Buenos Aires,Carmen de Areco,87414
Buenos Aires,Castelli,79736
Buenos Aires,Cañuelas,103655
Buenos Aires,Chacabuco,97851
Buenos Aires,Chascomús,88054
Buenos Aires,Lezama,88054
Buenos Aires,Chivilcoy,90503
Buenos Aires,Colón,81125
Buenos Aires,Coronel Dorrego,90899
Buenos Aires,Coronel Pringles,85955
Buenos Aires,Coronel Suárez,87773
Buenos Aires,Coronel de Marina Leonardo Rosales,98219
Buenos Aires,Daireaux,84814
Buenos Aires,Dolores,102676
Buenos Aires,Ensenada,103705
Buenos Aires,Escobar,107540
Buenos Aires,Esteban Echeverría,94273
Buenos Aires,Exaltación de la Cruz,106708
Buenos Aires,Ezeiza,95262
Buenos Aires,Florencio Varela,87358
Buenos Aires,Florentino Ameghino,86555
Buenos Aires,General Alvarado,79241
Buenos Aires,General Alvear,96660
Buenos Aires,General Arenales,87219
Buenos Aires,General Belgrano,82972
Buenos Aires,General Guido,84829
Buenos Aires,General Juan Madariaga,80384
Buenos Aires,General La Madrid,85529
Buenos Aires,General Las Heras,90845
Buenos Aires,General Lavalle,79498
Buenos Aires,General Paz,84705
Buenos Aires,General Pinto,84827
Buenos Aires,General Pueyrredón,95077
Buenos Aires,General Rodríguez,105609
Buenos Aires,General San Martín,96995
Buenos Aires,General Viamonte,86083
Buenos Aires,General Villegas,87448
Buenos Aires,Guaminí,88808
Buenos Aires,Hipólito Yrigoyen,77914
Buenos Aires,Hurlingham,98484
Buenos Aires,Ituzaingó,107298
Buenos Aires,José C. Paz,85812
Buenos Aires,Junín,101085
Buenos Aires,La Costa,78879
Buenos Aires,La Matanza,93958
Buenos Aires,La Plata,104590
Buenos Aires,Lanús,99442
Buenos Aires,Laprida,86037
Buenos Aires,Las Flores,83476
Buenos Aires,Leandro N. Alem,83527
Buenos Aires,Lincoln,83478
Buenos Aires,Lobería,88029
Buenos Aires,Lobos,88316
Buenos Aires,Lomas de Zamora,100317
Buenos Aires,Luján,106238
Buenos Aires,Magdalena,104069
Buenos Aires,Maipú,91705
Buenos Aires,Malvinas Argentinas,93231
Buenos Aires,Mar Chiquita,85072
Buenos Aires,Marcos Paz,87253
Buenos Aires,Mercedes,106764
Buenos Aires,Merlo,89244
Buenos Aires,Monte,87684
Buenos Aires,Monte Hermoso,76441
Buenos Aires,Moreno,89222
Buenos Aires,Morón,111312
Buenos Aires,Navarro,81912
Buenos Aires,Necochea,106123
Buenos Aires,Olavarría,103398
Buenos Aires,Patagones,99383
Buenos Aires,Pehuajó,89021
Buenos Aires,Pellegrini,86744
Buenos Aires,Pergamino,99923
Buenos Aires,Pila,74926
Buenos Aires,Pilar,105171
Buenos Aires,Pinamar,83527
Buenos Aires,Presidente Perón,83524
Buenos Aires,Punta Indio,85577
Buenos Aires,Puán,91318
Buenos Aires,Quilmes,100198
Buenos Aires,Ramallo,99322
Buenos Aires,Rauch,75703
Buenos Aires,Rivadavia,87887
Buenos Aires,Rojas,95650
Buenos Aires,Roque Pérez,84771
Buenos Aires,Saavedra,101136
Buenos Aires,Saladillo,89172
Buenos Aires,Salliqueló,90035
Buenos Aires,Salto,101310
Buenos Aires,San Andrés de Giles,87773
Buenos Aires,San Antonio de Areco,88992
Buenos Aires,San Cayetano,84648
Buenos Aires,San Fernando,101270
