provincia,departamento,m202108,id
Buenos Aires,25 de Mayo,82477.0,100.0
Buenos Aires,9 de Julio,88887.0,101.0
Buenos Aires,Adolfo Alsina,91610.0,379.0
Buenos Aires,Adolfo Gonzales Chaves,85457.0,135.0
Buenos Aires,Alberti,94192.0,90.0
Buenos Aires,Almirante Brown,96902.0,89.0
Buenos Aires,Arrecifes,88141.0,51.0
Buenos Aires,Avellaneda,102284.0,149.0
Buenos Aires,Ayacucho,78589.0,123.0
Buenos Aires,Azul,97030.0,118.0
Buenos Aires,Bahía Blanca,114975.0,139.0
Buenos Aires,Balcarce,96428.0,134.0
Buenos Aires,Baradero,113433.0,169.0
Buenos Aires,Benito Juárez,81940.0,132.0
Buenos Aires,Berazategui,98996.0,148.0
Buenos Aires,Berisso,100788.0,146.0
Buenos Aires,Bolívar,88221.0,113.0
Buenos Aires,Bragado,94879.0,81.0
Buenos Aires,Brandsen,91418.0,98.0
Buenos Aires,Campana,125188.0,168.0
Buenos Aires,Capitán Sarmiento,103406.0,54.0
Buenos Aires,Carlos Casares,85941.0,105.0
Buenos Aires,Carlos Tejedor,83025.0,99.0
Buenos Aires,Carmen de Areco,87414.0,57.0
Buenos Aires,Castelli,79736.0,162.0
Buenos Aires,Cañuelas,103655.0,95.0
Buenos Aires,Chacabuco,97851.0,63.0
Buenos Aires,Chascomús,88054.0,145.0
Buenos Aires,Lezama,88054.0,601.0
Buenos Aires,Chivilcoy,90503.0,80.0
Buenos Aires,Colón,81125.0,175.0
Buenos Aires,Coronel Dorrego,90899.0,141.0
Buenos Aires,Coronel Pringles,85955.0,136.0
Buenos Aires,Coronel Suárez,87773.0,130.0
Buenos Aires,Coronel de Marina Leonardo Rosales,98219.0,138.0
Buenos Aires,Daireaux,84814.0,119.0
Buenos Aires,Dolores,102676.0,116.0
Buenos Aires,Ensenada,103705.0,147.0
Buenos Aires,Escobar,107540.0,58.0
Buenos Aires,Esteban Echeverría,94273.0,87.0
Buenos Aires,Exaltación de la Cruz,106708.0,56.0
Buenos Aires,Ezeiza,95262.0,88.0
Buenos Aires,Florencio Varela,87358.0,91.0
Buenos Aires,Florentino Ameghino,86555.0,77.0
Buenos Aires,General Alvarado,79241.0,144.0
Buenos Aires,General Alvear,96660.0,111.0
Buenos Aires,General Arenales,87219.0,399.0
Buenos Aires,General Belgrano,82972.0,109.0
Buenos Aires,General Guido,84829.0,121.0
Buenos Aires,General Juan Madariaga,80384.0,127.0
Buenos Aires,General La Madrid,85529.0,129.0
Buenos Aires,General Las Heras,90845.0,86.0
Buenos Aires,General Lavalle,79498.0,160.0
Buenos Aires,General Paz,84705.0,102.0
Buenos Aires,General Pinto,84827.0,152.0
Buenos Aires,General Pueyrredón,95077.0,155.0
Buenos Aires,General Rodríguez,105609.0,70.0
Buenos Aires,General San Martín,96995.0,66.0
Buenos Aires,General Viamonte,86083.0,85.0
Buenos Aires,General Villegas,87448.0,396.0
Buenos Aires,Guaminí,88808.0,124.0
Buenos Aires,Hipólito Yrigoyen,77914.0,115.0
Buenos Aires,Hurlingham,98484.0,73.0
Buenos Aires,Ituzaingó,107298.0,76.0
Buenos Aires,José C. Paz,85812.0,65.0
Buenos Aires,Junín,101085.0,60.0
Buenos Aires,La Costa,78879.0,159.0
Buenos Aires,La Matanza,93958.0,78.0
Buenos Aires,La Plata,104590.0,93.0
Buenos Aires,Lanús,99442.0,82.0
Buenos Aires,Laprida,86037.0,131.0
Buenos Aires,Las Flores,83476.0,110.0
Buenos Aires,Leandro N. Alem,83527.0,398.0
Buenos Aires,Lincoln,83478.0,75.0
Buenos Aires,Lobería,88029.0,143.0
Buenos Aires,Lobos,88316.0,97.0
Buenos Aires,Lomas de Zamora,100317.0,84.0
Buenos Aires,Luján,106238.0,62.0
Buenos Aires,Magdalena,104069.0,164.0
Buenos Aires,Maipú,91705.0,126.0
Buenos Aires,Malvinas Argentinas,93231.0,64.0
Buenos Aires,Mar Chiquita,85072.0,156.0
Buenos Aires,Marcos Paz,87253.0,83.0
Buenos Aires,Mercedes,106764.0,68.0
Buenos Aires,Merlo,89244.0,79.0
Buenos Aires,Monte,87684.0,103.0
Buenos Aires,Monte Hermoso,76441.0,140.0
Buenos Aires,Moreno,89222.0,69.0
Buenos Aires,Morón,111312.0,74.0
Buenos Aires,Navarro,81912.0,92.0
Buenos Aires,Necochea,106123.0,142.0
Buenos Aires,Olavarría,103398.0,122.0
Buenos Aires,Patagones,99383.0,391.0
Buenos Aires,Pehuajó,89021.0,107.0
Buenos Aires,Pellegrini,86744.0,381.0
Buenos Aires,Pergamino,99923.0,174.0
Buenos Aires,Pila,74926.0,112.0
Buenos Aires,Pilar,105171.0,61.0
Buenos Aires,Pinamar,83527.0,158.0
Buenos Aires,Presidente Perón,83524.0,94.0
Buenos Aires,Punta Indio,85577.0,163.0
Buenos Aires,Puán,91318.0,382.0
Buenos Aires,Quilmes,100198.0,165.0
Buenos Aires,Ramallo,99322.0,172.0
Buenos Aires,Rauch,75703.0,117.0
Buenos Aires,Rivadavia,87887.0,380.0
Buenos Aires,Rojas,95650.0,52.0
Buenos Aires,Roque Pérez,84771.0,104.0
Buenos Aires,Saavedra,101136.0,133.0
Buenos Aires,Saladillo,89172.0,106.0
Buenos Aires,Salliqueló,90035.0,125.0
Buenos Aires,Salto,101310.0,55.0
Buenos Aires,San Andrés de Giles,87773.0,59.0
Buenos Aires,San Antonio de Areco,88992.0,53.0
Buenos Aires,San Cayetano,84648.0,153.0
Buenos Aires,San Fernando,101270.0,167.0
Buenos Aires,San Isidro,135610.0,150.0
Buenos Aires,San Miguel,96442.0,67.0
Buenos Aires,San Nicolás,108935.0,173.0
Buenos Aires,San Pedro,90635.0,171.0
Buenos Aires,San Vicente,93363.0,96.0
Buenos Aires,Suipacha,90528.0,71.0
Buenos Aires,Tandil,90487.0,128.0
Buenos Aires,Tapalqué,89416.0,114.0
Buenos Aires,Tigre,111756.0,151.0
Buenos Aires,Tordillo,81694.0,161.0
Buenos Aires,Tornquist,92401.0,137.0
Buenos Aires,Trenque Lauquen,97405.0,108.0
Buenos Aires,Tres Arroyos,96349.0,154.0
Buenos Aires,Tres Lomas,88916.0,120.0
Buenos Aires,Tres de Febrero,100755.0,72.0
Buenos Aires,Vicente López,136546.0,166.0
Buenos Aires,Villa Gesell,77885.0,157.0
Buenos Aires,Villarino,88870.0,383.0
Buenos Aires,Zárate,130250.0,170.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 1,134193.0,497.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 2,134193.0,498.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 3,134193.0,499.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 4,134193.0,500.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 5,134193.0,501.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 6,134193.0,502.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 7,134193.0,503.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 8,134193.0,504.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 9,134193.0,505.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 10,134193.0,506.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 11,134193.0,507.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 12,134193.0,508.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 13,134193.0,509.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 14,134193.0,510.0
CIUDAD AUTONOMA DE BUENOS AIRES,Comuna 15,134193.0,511.0
Catamarca,Ambato,64790.0,281.0
Catamarca,Ancasti,60029.0,277.0
Catamarca,Andalgalá,56902.0,280.0
Catamarca,Antofagasta de la Sierra,71638.0,344.0
Catamarca,Belén,72278.0,278.0
Catamarca,Capayán,58601.0,394.0
Catamarca,Capital,84479.0,276.0
Catamarca,El Alto,65878.0,284.0
Catamarca,Fray Mamerto Esquiú,75594.0,513.0
Catamarca,La Paz,83143.0,285.0
Catamarca,Paclín,70128.0,282.0
Catamarca,Pomán,62658.0,286.0
Catamarca,Santa María,72231.0,279.0
Catamarca,Santa Rosa,67497.0,283.0
Catamarca,Tinogasta,75503.0,345.0
Catamarca,Valle Viejo,59647.0,512.0
Chaco,12 de Octubre,76059.0,320.0
Chaco,1° de Mayo,70470.0,319.0
Chaco,2 de Abril,74168.0,314.0
Chaco,25 de Mayo,64081.0,308.0
Chaco,9 de Julio,69051.0,313.0
Chaco,Almirante Brown,64828.0,428.0
Chaco,Bermejo,72284.0,365.0
Chaco,Chacabuco,75807.0,321.0
Chaco,Comandante Fernández,77769.0,304.0
Chaco,Fray Justo Santa María de Oro,66305.0,318.0
Chaco,General Belgrano,64355.0,306.0
Chaco,General Donovan,66541.0,307.0
Chaco,General Güemes,73149.0,367.0
Chaco,Independencia,62285.0,305.0
Chaco,Libertad,70306.0,316.0
Chaco,Libertador General San Martín,65412.0,366.0
Chaco,Maipú,59505.0,302.0
Chaco,Mayor Luis J. Fontana,70949.0,317.0
Chaco,O'Higgins,64141.0,312.0
Chaco,Presidencia de la Plaza,66508.0,310.0
Chaco,Quitilipi,67743.0,309.0
Chaco,San Fernando,82676.0,447.0
Chaco,San Lorenzo,68225.0,311.0
Chaco,Sargento Cabral,64652.0,303.0
Chubut,Biedma,138780.0,373.0
Chubut,Cushamen,89278.0,493.0
Chubut,Escalante,167354.0,298.0
Chubut,Florentino Ameghino,81941.0,299.0
Chubut,Futaleufú,104775.0,350.0
Chubut,Gaiman,99935.0,293.0
Chubut,Languiñeo,90893.0,292.0
Chubut,Mártires,102651.0,294.0
Chubut,Paso de Indios,91068.0,295.0
Chubut,Rawson,110942.0,296.0
Chubut,Río Senguer,111999.0,445.0
Chubut,Sarmiento,156970.0,491.0
Chubut,Tehuelches,98863.0,297.0
Chubut,Telsen,99045.0,374.0
Cordoba,Calamuchita,89357.0,378.0
Cordoba,Capital,95125.0,329.0
Cordoba,Colón,99297.0,327.0
Cordoba,Cruz del Eje,75567.0,326.0
Cordoba,General Roca,76075.0,397.0
Cordoba,General San Martín,90928.0,339.0
Cordoba,Ischilín,85383.0,324.0
Cordoba,Juárez Celman,93975.0,342.0
Cordoba,Marcos Juárez,82562.0,338.0
Cordoba,Minas,75508.0,331.0
Cordoba,Pocho,75469.0,332.0
Cordoba,Presidente Roque Sáenz Peña,84291.0,393.0
Cordoba,Punilla,87199.0,328.0
Cordoba,Río Cuarto,88858.0,343.0
Cordoba,Río Primero,89082.0,340.0
Cordoba,Río Seco,77222.0,433.0
Cordoba,Río Segundo,86067.0,335.0
Cordoba,San Alberto,65387.0,333.0
Cordoba,San Javier,78845.0,334.0
Cordoba,San Justo,93901.0,336.0
Cordoba,Santa María,87029.0,330.0
Cordoba,Sobremonte,72065.0,322.0
Cordoba,Tercero Arriba,98372.0,341.0
Cordoba,Totoral,88421.0,325.0
Cordoba,Tulumba,76288.0,323.0
Cordoba,Unión,84644.0,337.0
Corrientes,Bella Vista,74889.0,49.0
Corrientes,Berón de Astrada,70216.0,35.0
Corrientes,Capital,89424.0,33.0
Corrientes,Concepción,63683.0,28.0
Corrientes,Curuzú Cuatiá,70527.0,42.0
Corrientes,Empedrado,197772.0,50.0
Corrientes,Esquina,70443.0,44.0
Corrientes,General Alvear,77015.0,38.0
Corrientes,General Paz,80654.0,36.0
Corrientes,Goya,87522.0,47.0
Corrientes,Itatí,81962.0,34.0
Corrientes,Ituzaingó,87916.0,45.0
Corrientes,Lavalle,74687.0,48.0
Corrientes,Mburucuyá,67249.0,31.0
Corrientes,Mercedes,75936.0,27.0
Corrientes,Monte Caseros,78616.0,41.0
