Departamento,Codigo,ICV 2010,Nivel de calidad de vida,Código de provincia,Nombre de provincia,Código de departamentos/comuna,Nombre de departamentos/comuna,Población total,Total de hogares,Latitud del centroide,Longitud del centroide,Superficie en km2,id
Ramón Lista,34063,2.83560995,1,34,Formosa,34063,Ramón Lista,13754,2796,-23.130271,-62.125171,4111.230424511,273.0
Bermejo (For),34007,2.95119906,1,34,Formosa,34007,Bermejo,14046,3548,-24.028331,-61.267853,13060.033532372,364.0
Rivadavia (Sal),66133,3.18351299,1,66,Salta,66133,Rivadavia,30357,7154,-23.52053,-62.82821,26071.405867667,211.0
Figueroa,86070,4.01984767,1,86,Santiago del Estero,86070,Figueroa,17820,4084,-27.314496,-63.565643,6453.0687920279,177.0
Matacos,34028,4.18537437,1,34,Formosa,34028,Matacos,14375,3363,-23.859214,-62.055683,4421.3249631725,426.0
Mitre,86112,4.19440062,1,86,Santiago del Estero,86112,Mitre,1890,536,-29.582078,-62.732874,3373.318441707,520.0
Avellaneda (Sgo),86028,4.2013395,1,86,Santiago del Estero,86028,Avellaneda,20763,4897,-28.54682,-63.205598,3773.5890225309,178.0
Independencia (Cha),22070,4.23331663,1,22,Chaco,22070,Independencia,22411,5417,-26.738539,-60.757244,1940.2058716217,305.0
Atamisqui,86021,4.28216863,1,86,Santiago del Estero,86021,Atamisqui,10923,2520,-28.684508,-63.869749,2487.820451528,522.0
General Güemes (Cha),22063,4.32667071,1,22,Chaco,22063,General Güemes,67132,17243,-25.212612,-61.332719,25749.776804812,367.0
Alberdi,86014,4.35428566,1,86,Santiago del Estero,86014,Alberdi,17252,3980,-26.539862,-62.730954,12924.109450237,180.0
Sarmiento (Sgo),86182,4.36089852,1,86,Santiago del Estero,86182,Sarmiento,4607,1057,-28.093428,-63.455241,1627.346271051,521.0
Chical Co,42063,4.36212802,1,42,La Pampa,42063,Chical Co,1502,474,-36.401963,-67.684723,9092.6387143037,495.0
Salavina,86168,4.40084602,1,86,Santiago del Estero,86168,Salavina,11217,2718,-28.923083,-63.298275,3120.5590739264,179.0
Patiño,34035,4.4666747,1,34,Formosa,34035,Patiño,68581,18856,-24.862549,-59.977358,26157.986394067,363.0
General Belgrano (Cha),22049,4.47939613,1,22,Chaco,22049,General Belgrano,11988,3078,-26.848522,-61.071824,1303.1708302008,306.0
Almirante Brown (Cha),22007,4.49562528,1,22,Chaco,22007,Almirante Brown,34075,8730,-25.742873,-61.961478,17744.482531989,428.0
Pellegrini (Sgo),86133,4.51863697,1,86,Santiago del Estero,86133,Pellegrini,20514,5296,-26.213152,-64.093987,6931.0799964648,176.0
Jiménez,86091,4.57634545,1,86,Santiago del Estero,86091,Jiménez,14352,3586,-26.904178,-64.274407,5764.6153813029,525.0
Concepción (Corr),18028,4.58400326,1,18,Corrientes,18028,Concepción,21113,5205,-28.4084,-58.031393,5281.6344580735,28.0
25 de Mayo (Cha),22168,4.62313776,1,22,Chaco,22168,25 de Mayo,29215,7532,-26.825934,-60.018614,2339.4104156995,308.0
San Martín (Sgo),86175,4.64895707,1,86,Santiago del Estero,86175,San Martín,9831,2261,-28.18646,-63.856429,1826.6484612206,519.0
Belgrano (Sgo),86042,4.68151318,1,86,Santiago del Estero,86042,Belgrano,9243,2473,-29.083613,-62.21859,3250.1835478124,527.0
O'Higgins,22112,4.69666128,1,22,Chaco,22112,O'Higgins,20131,5184,-27.258728,-60.680508,1552.2724771558,312.0
Aguirre,86007,4.6983413,1,86,Santiago del Estero,86007,Aguirre,7610,2087,-29.289486,-62.510543,3901.7189998694,528.0
Silípica,86189,4.7061002,1,86,Santiago del Estero,86189,Silípica,7712,1819,-28.183472,-64.276197,1138.986417299,518.0
Quitilipi,22133,4.71609535,1,22,Chaco,22133,Quitilipi,34081,8809,-26.673406,-60.173718,1606.7393580801,309.0
Fray Justo Santa María de Oro,22043,4.72535775,1,22,Chaco,22043,Fray Justo Santa María de Oro,11826,3229,-27.866373,-61.301148,2196.6287365889,318.0
Moreno (Sgo),86119,4.75109609,1,86,Santiago del Estero,86119,Moreno,32130,7467,-27.308438,-62.464501,16296.359415942,181.0
