name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p
Buenos Aires,partido Adolfo Alsina,17344,15376,1795,173,8710,7674,929,107,8634,7702,866,66,0.8865313653136532,0.1034940036900369,0.009974630996309963,0.8810562571756602,0.10665901262916189,0.012284730195177956,0.892054667593236,0.10030113504748668,0.007644197359277276
Buenos Aires,partido Adolfo Gonzales Chaves,12847,12111,642,94,6566,6198,311,57,6281,5913,331,37,0.9427103603954231,0.049972756285514126,0.007316883319062816,0.9439537008833384,0.047365214742613466,0.008681084374048126,0.9414106034071008,0.05269861487024359,0.005890781722655628
Buenos Aires,partido Alberti,12906,11473,1159,274,6651,5882,611,158,6255,5591,548,116,0.8889663722299705,0.08980319231365257,0.02123043545637688,0.8843782889791009,0.09186588482934897,0.023755826191550145,0.8938449240607514,0.08760991207034373,0.018545163868904875
Buenos Aires,partido Almirante Brown,583209,464993,89522,28694,301570,236767,48691,16112,281639,228226,40831,12582,0.7973007961125429,0.15349900293033886,0.04920020095711829,0.7851145670988493,0.1614583678747886,0.05342706502636204,0.810349418937008,0.144976370460057,0.044674210602934965
Buenos Aires,partido Arrecifes,32077,28281,3453,343,16637,14657,1783,197,15440,13624,1670,146,0.8816597562116159,0.10764722386756866,0.010693019920815538,0.8809881589228827,0.10717076395984854,0.011841077117268738,0.8823834196891192,0.10816062176165803,0.009455958549222798
Buenos Aires,partido Avellaneda,366117,272144,67348,26625,193116,141518,36186,15412,173001,130626,31162,11213,0.7433252211724667,0.18395212459405053,0.07272265423348274,0.7328134385550653,0.18737960603989312,0.07980695540504153,0.755059219310871,0.1801261264385755,0.06481465425055347
Buenos Aires,partido Ayacucho,21757,20511,1058,188,11111,10441,553,117,10646,10070,505,71,0.9427310750563037,0.04862802776118031,0.008640897182515973,0.93969939699397,0.04977049770497705,0.01053010530105301,0.9458951718955476,0.047435656584632724,0.006669171519819651
Buenos Aires,partido Azul,75152,67416,6096,1640,38902,34852,3158,892,36250,32564,2938,748,0.8970619544390036,0.08111560570576964,0.02182243985522674,0.8958922420441109,0.08117834558634518,0.022929412369543982,0.8983172413793103,0.08104827586206896,0.02063448275862069
Buenos Aires,partido Bahía Blanca,334505,279012,42048,13445,174321,144029,22755,7537,160184,134983,19293,5908,0.8341041240041255,0.1257021569184317,0.04019371907744279,0.8262286242047716,0.13053504741253205,0.04323632838269629,0.8426746741247565,0.12044274084802477,0.036882585027218695
Buenos Aires,partido Balcarce,48516,43099,4418,999,24921,22171,2199,551,23595,20928,2219,448,0.88834611262264,0.09106274218814411,0.02059114518921593,0.8896512981020023,0.08823883471770795,0.022109867180289716,0.8869675778766688,0.09404534859080313,0.018987073532528077
Buenos Aires,partido Baradero,39223,32944,5347,932,20105,16866,2763,476,19118,16078,2584,456,0.8399153557861458,0.1363230757463733,0.023761568467480815,0.8388957970654066,0.13742850037304152,0.023675702561551853,0.8409875509990585,0.1351605816508003,0.023851867350141227
Buenos Aires,partido Benito Juárez,21185,19366,1434,385,10806,9863,733,210,10379,9503,701,175,0.9141373613405711,0.0676894028793958,0.01817323578003304,0.9127336664815843,0.06783268554506755,0.01943364797334814,0.9155988052798921,0.06754022545524617,0.01686096926486174
Buenos Aires,partido Berazategui,358328,291566,51662,15100,185198,148278,28273,8647,173130,143288,23389,6453,0.8136846687950704,0.1441751691187962,0.04214016208613337,0.8006457953109645,0.1526636356764112,0.046690569012624326,0.8276324149483048,0.13509501530641715,0.037272569745278115
Buenos Aires,partido Berisso,100685,83735,10558,6392,52340,43054,5820,3466,48345,40681,4738,2926,0.831653175746139,0.10486169737299499,0.06348512688086606,0.8225831104317921,0.11119602598395109,0.06622086358425679,0.8414727479573896,0.09800393008584135,0.06052332195676906
Buenos Aires,partido Bolívar,37194,34395,2217,582,19288,17847,1113,328,17906,16548,1104,254,0.924745926762381,0.05960638812711728,0.015647685110501693,0.9252903359601825,0.057704272086271255,0.017005391953546247,0.9241594996090696,0.06165531106891545,0.014185189322014968
Buenos Aires,partido Bragado,46227,41749,3444,1034,23826,21493,1780,553,22401,20256,1664,481,0.90313020529128,0.07450191446557207,0.022367880243147942,0.9020817594224796,0.07470830185511626,0.023209938722404098,0.9042453461899023,0.07428239810722735,0.021472255702870407
Buenos Aires,partido Brandsen,32350,28539,3016,795,16549,14577,1521,451,15801,13962,1495,344,0.882194744976816,0.09323029366306028,0.02457496136012365,0.8808387213728927,0.09190887666928516,0.027252401957822223,0.8836149610784128,0.09461426491994178,0.021770774001645465
Buenos Aires,partido Campana,107976,86600,17639,3737,55066,43959,9149,1958,52910,42641,8490,1779,0.8020300807586871,0.16336037637993628,0.0346095428613766,0.7982965895470889,0.16614607925035413,0.035557331202556934,0.8059157059157059,0.16046116046116046,0.03362313362313362
Buenos Aires,partido Cañuelas,70542,57848,9372,3322,35909,29470,4715,1724,34633,28378,4657,1598,0.820050466388818,0.13285702134898358,0.047092512262198405,0.8206856219889165,0.13130412988387313,0.04801024812721045,0.8193919094505241,0.13446712672884242,0.0461409638206335
Buenos Aires,partido Capitán Sarmiento,15882,13331,2303,248,8206,6873,1196,137,7676,6458,1107,111,0.8393779121017504,0.1450069260798388,0.015615161818410779,0.8375578844747745,0.14574701437972215,0.01669510114550329,0.841323606044815,0.14421573736321,0.014460656591974987
Buenos Aires,partido Carlos Casares,22905,21229,1419,257,11754,10930,687,137,11151,10299,732,120,0.9268282034490286,0.061951538965291424,0.011220257585679983,0.9298962055470478,0.05844818785094436,0.011655606602007828,0.9235942964756524,0.06564433683077751,0.010761366693570083
Buenos Aires,partido Carlos Tejedor,14007,11057,2411,539,7041,5556,1212,273,6966,5501,1199,266,0.7893910187763261,0.17212822160348398,0.0384807596201899,0.7890924584576055,0.17213463996591394,0.03877290157648061,0.7896927935687625,0.17212173413723802,0.03818547229399943
Buenos Aires,partido Carmen de Areco,17345,15288,1822,235,8731,7706,902,123,8614,7582,920,112,0.8814067454597867,0.10504468146439896,0.013548573075814356,0.8826022219677013,0.10331004466842286,0.014087733363875844,0.8801950313443232,0.10680287903413048,0.01300208962154632
Buenos Aires,partido Castelli,9551,8619,789,143,4862,4394,403,65,4689,4225,386,78,0.9024185949115275,0.08260915087425401,0.014972254214218406,0.9037433155080213,0.08288770053475936,0.013368983957219251,0.9010449989336745,0.08232032416293453,0.016634676903390915
