name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p,latitude,longitude
Buenos Aires,Adolfo Alsina,17344,15376,1795,173,8710,7674,929,107,8634,7702,866,66,0.8865313653136532,0.1034940036900369,0.0099746309963099,0.8810562571756602,0.1066590126291618,0.0122847301951779,0.892054667593236,0.1003011350474866,0.0076441973592772,-37.196762082356,-63.0560551528803
Buenos Aires,Adolfo Gonzales Chaves,12847,12111,642,94,6566,6198,311,57,6281,5913,331,37,0.9427103603954232,0.0499727562855141,0.0073168833190628,0.9439537008833384,0.0473652147426134,0.0086810843740481,0.9414106034071008,0.0526986148702435,0.0058907817226556,-37.9646159068483,-60.2482821323384
Buenos Aires,Alberti,12906,11473,1159,274,6651,5882,611,158,6255,5591,548,116,0.8889663722299705,0.0898031923136525,0.0212304354563768,0.8843782889791009,0.0918658848293489,0.0237558261915501,0.8938449240607514,0.0876099120703437,0.0185451638689048,-35.0369685106341,-60.2819765918318
Buenos Aires,Almirante Brown,583209,464993,89522,28694,301570,236767,48691,16112,281639,228226,40831,12582,0.7973007961125429,0.1534990029303388,0.0492002009571182,0.7851145670988493,0.1614583678747886,0.053427065026362,0.810349418937008,0.144976370460057,0.0446742106029349,-34.8356191132679,-58.36737293295
Buenos Aires,Arrecifes,32077,28281,3453,343,16637,14657,1783,197,15440,13624,1670,146,0.8816597562116159,0.1076472238675686,0.0106930199208155,0.8809881589228827,0.1071707639598485,0.0118410771172687,0.8823834196891192,0.108160621761658,0.0094559585492227,-34.0118119181559,-60.0626641477636
Buenos Aires,Avellaneda,366117,272144,67348,26625,193116,141518,36186,15412,173001,130626,31162,11213,0.7433252211724667,0.1839521245940505,0.0727226542334827,0.7328134385550653,0.1873796060398931,0.0798069554050415,0.755059219310871,0.1801261264385755,0.0648146542505534,-34.6781993084404,-58.3411445451106
Buenos Aires,Ayacucho,21757,20511,1058,188,11111,10441,553,117,10646,10070,505,71,0.9427310750563036,0.0486280277611803,0.0086408971825159,0.93969939699397,0.049770497704977,0.010530105301053,0.9458951718955476,0.0474356565846327,0.0066691715198196,-37.0354309121063,-58.4425565239465
Buenos Aires,Azul,75152,67416,6096,1640,38902,34852,3158,892,36250,32564,2938,748,0.8970619544390036,0.0811156057057696,0.0218224398552267,0.8958922420441109,0.0811783455863451,0.0229294123695439,0.8983172413793103,0.0810482758620689,0.0206344827586206,-36.7859352165928,-59.696478337621
Buenos Aires,Bahía Blanca,334505,279012,42048,13445,174321,144029,22755,7537,160184,134983,19293,5908,0.8341041240041255,0.1257021569184317,0.0401937190774427,0.8262286242047716,0.130535047412532,0.0432363283826962,0.8426746741247565,0.1204427408480247,0.0368825850272186,-38.5841892126256,-62.1694174494415
Buenos Aires,Balcarce,48516,43099,4418,999,24921,22171,2199,551,23595,20928,2219,448,0.88834611262264,0.0910627421881441,0.0205911451892159,0.8896512981020023,0.0882388347177079,0.0221098671802897,0.8869675778766688,0.0940453485908031,0.018987073532528,-37.7146198082264,-58.2717475616555
Buenos Aires,Baradero,39223,32944,5347,932,20105,16866,2763,476,19118,16078,2584,456,0.8399153557861458,0.1363230757463733,0.0237615684674808,0.8388957970654066,0.1374285003730415,0.0236757025615518,0.8409875509990585,0.1351605816508003,0.0238518673501412,-33.9319613769628,-59.4927871380553
Buenos Aires,Benito Juárez,21185,19366,1434,385,10806,9863,733,210,10379,9503,701,175,0.9141373613405712,0.0676894028793958,0.018173235780033,0.9127336664815844,0.0678326855450675,0.0194336479733481,0.915598805279892,0.0675402254552461,0.0168609692648617,-37.586110705761,-59.8883978406322
Buenos Aires,Berazategui,358328,291566,51662,15100,185198,148278,28273,8647,173130,143288,23389,6453,0.8136846687950704,0.1441751691187962,0.0421401620861333,0.8006457953109645,0.1526636356764112,0.0466905690126243,0.8276324149483048,0.1350950153064171,0.0372725697452781,-34.8182447703794,-58.155461508679
Buenos Aires,Berisso,100685,83735,10558,6392,52340,43054,5820,3466,48345,40681,4738,2926,0.831653175746139,0.1048616973729949,0.063485126880866,0.8225831104317921,0.111196025983951,0.0662208635842567,0.8414727479573896,0.0980039300858413,0.060523321956769,-34.9093551143988,-57.8283797724826
Buenos Aires,Bolívar,37194,34395,2217,582,19288,17847,1113,328,17906,16548,1104,254,0.924745926762381,0.0596063881271172,0.0156476851105016,0.9252903359601824,0.0577042720862712,0.0170053919535462,0.9241594996090696,0.0616553110689154,0.0141851893220149,-36.2989479582916,-61.1498600852285
Buenos Aires,Bragado,46227,41749,3444,1034,23826,21493,1780,553,22401,20256,1664,481,0.90313020529128,0.074501914465572,0.0223678802431479,0.9020817594224796,0.0747083018551162,0.023209938722404,0.9042453461899024,0.0742823981072273,0.0214722557028704,-35.0614122707821,-60.6040466528095
Buenos Aires,Brandsen,32350,28539,3016,795,16549,14577,1521,451,15801,13962,1495,344,0.882194744976816,0.0932302936630602,0.0245749613601236,0.8808387213728927,0.0919088766692851,0.0272524019578222,0.8836149610784128,0.0946142649199417,0.0217707740016454,-35.2225197990076,-58.1752339039367
Buenos Aires,Campana,107976,86600,17639,3737,55066,43959,9149,1958,52910,42641,8490,1779,0.8020300807586871,0.1633603763799362,0.0346095428613766,0.7982965895470889,0.1661460792503541,0.0355573312025569,0.8059157059157059,0.1604611604611604,0.0336231336231336,-34.1383889592817,-58.8829573786215
Buenos Aires,Cañuelas,70542,57848,9372,3322,35909,29470,4715,1724,34633,28378,4657,1598,0.820050466388818,0.1328570213489835,0.0470925122621984,0.8206856219889165,0.1313041298838731,0.0480102481272104,0.8193919094505241,0.1344671267288424,0.0461409638206335,-35.1448044957896,-58.6910941846835
Buenos Aires,Capitán Sarmiento,15882,13331,2303,248,8206,6873,1196,137,7676,6458,1107,111,0.8393779121017504,0.1450069260798388,0.0156151618184107,0.8375578844747745,0.1457470143797221,0.0166951011455032,0.841323606044815,0.14421573736321,0.0144606565919749,-34.1498445273572,-59.8540147848747
Buenos Aires,Carlos Casares,22905,21229,1419,257,11754,10930,687,137,11151,10299,732,120,0.9268282034490286,0.0619515389652914,0.0112202575856799,0.9298962055470478,0.0584481878509443,0.0116556066020078,0.9235942964756524,0.0656443368307775,0.01076136669357,-35.7499222140362,-61.3743777867738
Buenos Aires,Carlos Tejedor,14007,11057,2411,539,7041,5556,1212,273,6966,5501,1199,266,0.7893910187763261,0.1721282216034839,0.0384807596201899,0.7890924584576055,0.1721346399659139,0.0387729015764806,0.7896927935687625,0.172121734137238,0.0381854722939994,-35.3797449374452,-62.4297895789754
Buenos Aires,Carmen de Areco,17345,15288,1822,235,8731,7706,902,123,8614,7582,920,112,0.8814067454597867,0.1050446814643989,0.0135485730758143,0.8826022219677013,0.1033100446684228,0.0140877333638758,0.8801950313443232,0.1068028790341304,0.0130020896215463,-34.4067977883926,-59.8844134882327
Buenos Aires,Castelli,9551,8619,789,143,4862,4394,403,65,4689,4225,386,78,0.9024185949115276,0.082609150874254,0.0149722542142184,0.9037433155080212,0.0828877005347593,0.0133689839572192,0.9010449989336744,0.0823203241629345,0.0166346769033909,-36.0414897439213,-57.6574251943684
Buenos Aires,Chacabuco,52409,47049,4001,1359,27019,24194,2115,710,25390,22855,1886,649,0.897727489553321,0.0763418496823064,0.0259306607643725,0.8954439468522151,0.078278248639846,0.0262778045079388,0.9001575423395037,0.0742812130760141,0.025561244584482,-34.6182002950801,-60.3543081129662
Buenos Aires,Chascomús,42191,38580,2878,733,21680,19753,1537,390,20511,18827,1341,343,0.9144130264748406,0.0682136000568841,0.0173733734682752,0.9111162361623616,0.0708948339483394,0.0179889298892988,0.9178977134220662,0.0653795524352786,0.0167227341426551,-35.6186883086057,-57.9039810685242
Buenos Aires,Chivilcoy,70554,64051,4990,1513,36832,33348,2690,794,33722,30703,2300,719,0.9078294639566856,0.070725968761516,0.0214445672817983,0.9054083405734143,0.0730343179843614,0.0215573414422241,0.9104738746219084,0.0682047328153727,0.0213213925627187,-34.915487328433,-59.9584194881488
Buenos Aires,Colón,27406,22906,4112,388,14089,11690,2201,198,13317,11216,1911,190,0.8358023790410859,0.1500401371962344,0.0141574837626797,0.8297253176236781,0.156221165448222,0.0140535169280999,0.8422317338739956,0.1435007884658707,0.0142674776601336,-33.885864543958,-61.0624837286828
Buenos Aires,Coronel de Marina Leonardo Rosales,65823,48739,15918,1166,34150,25217,8214,719,31673,23522,7704,447,0.7404554638955988,0.2418303632468894,0.0177141728575118,0.7384187408491947,0.2405270863836017,0.0210541727672035,0.7426514697060588,0.243235563413633,0.0141129668803081,-38.8490773280679,-61.8355844196542
Buenos Aires,Coronel Dorrego,15795,14834,763,198,8095,7559,423,113,7700,7275,340,85,0.9391579613801836,0.0483064260842038,0.0125356125356125,0.933786287831995,0.0522544780728845,0.0139592340951204,0.9448051948051948,0.0441558441558441,0.011038961038961,-38.6708176079735,-61.0955505728699
Buenos Aires,Coronel Pringles,24110,20857,2930,323,12535,10825,1542,168,11575,10032,1388,155,0.8650767316466197,0.1215263376192451,0.0133969307341352,0.8635819704826486,0.1230155564419625,0.0134024730753889,0.8666954643628509,0.119913606911447,0.0133909287257019,-38.1479172688233,-61.2644174529926
Buenos Aires,Coronel Suárez,41713,39132,2158,423,21416,20006,1151,259,20297,19126,1007,164,0.9381248052165992,0.05173447126795,0.0101407235154508,0.9341613746731416,0.0537448636533432,0.0120937616735151,0.9423067448391388,0.0496132433364536,0.0080800118244075,-37.534856250067,-61.8890922422146
Buenos Aires,Daireaux,18328,16658,1316,354,9341,8445,681,215,8987,8213,635,139,0.9088825840244434,0.0718027062418158,0.0193147097337407,0.9040787924205116,0.072904399957178,0.0230168076223102,0.9138755980861244,0.0706576165572493,0.0154667853566262,-36.6408692174847,-61.8912495525965
Buenos Aires,Dolores,31405,28861,2029,515,16276,15012,1003,261,15129,13849,1026,254,0.9189937907976437,0.0646075465690176,0.0163986626333386,0.9223396411894814,0.061624477758663,0.0160358810518554,0.9153942758939784,0.0678167757287329,0.0167889483772886,-36.3989376730385,-57.6319261244954
Buenos Aires,Ensenada,63978,56034,5992,1952,32999,28734,3174,1091,30979,27300,2818,861,0.8758323173590922,0.0936571946606646,0.0305104879802432,0.870753659201794,0.096184732870693,0.0330616079275129,0.8812421317666806,0.090964847154524,0.0277930210787953,-34.8421497421872,-57.9791090925538
Buenos Aires,Escobar,256071,193568,49064,13439,130340,97634,25449,7257,125731,95934,23615,6182,0.7559153516017042,0.1916031100749401,0.0524815383233556,0.7490716587386834,0.1952508823078103,0.0556774589535062,0.7630099179995387,0.1878216191710874,0.0491684628293738,-34.3286828340822,-58.7711786108511
Buenos Aires,Esteban Echeverría,337880,248099,57573,32208,174144,126555,30240,17349,163736,121544,27333,14859,0.7342814016810703,0.170394814727122,0.0953237835918077,0.726726157662624,0.1736493936052921,0.0996244487320837,0.7423169003762153,0.1669333561342649,0.0907497434895197,-34.8312135656106,-58.4769479291405
Buenos Aires,Exaltación de la Cruz,40036,29576,8557,1903,20247,15039,4218,990,19789,14537,4339,913,0.7387351383754621,0.2137326406234389,0.047532221001099,0.7427767076603942,0.2083271595791969,0.0488961327604089,0.7346000303198746,0.2192632270453282,0.0461367426347971,-34.2951342236201,-59.1559461316089
Buenos Aires,Ezeiza,198620,147438,37258,13924,101711,74888,19222,7601,96909,72550,18036,6323,0.7423119524720572,0.1875843318900412,0.0701037156379015,0.7362822113635693,0.1889864419777605,0.0747313466586701,0.7486404771486652,0.1861127449462898,0.0652467779050449,-34.8760968437468,-58.5647013731149
Buenos Aires,Florencio Varela,488103,385644,73020,29439,249381,194443,38932,16006,238722,191201,34088,13433,0.7900873381233059,0.1495995722214368,0.0603130896552571,0.7797025434977003,0.1561145396000497,0.0641829169022499,0.8009358165564967,0.1427937098382218,0.0562704736052814,-34.8777448240057,-58.2585548857898
Buenos Aires,Florentino Ameghino,10759,9109,1488,162,5469,4639,745,85,5290,4470,743,77,0.8466400223069058,0.138302816246863,0.015057161446231,0.8482355092338636,0.1362223441214116,0.0155421466447248,0.8449905482041588,0.140453686200378,0.0145557655954631,-34.8741058055206,-62.4017162645879
