name,identifier,total,mujer,hombre,total_esta,total_otra,total_fuera,mujer_esta,mujer_otra,mujer_fuera,hombre_esta,hombre_otra,hombre_fuera
buenos aires,partido Adolfo Alsina,42,42,37,42,27,32,42,27,37,37,27,32
buenos aires,partido Adolfo Gonzales Chaves,42,32,27,27,32,42,32,37,42,27,32,42
buenos aires,partido Alberti,42,42,32,42,67,37,42,67,47,32,67,37
buenos aires,partido Almirante Brown,27,27,22,22,67,37,22,67,37,22,67,37
buenos aires,partido Arrecifes,22,22,22,22,42,32,22,42,37,22,42,32
buenos aires,partido Avellaneda,42,42,32,22,57,37,22,62,37,22,47,37
buenos aires,partido Ayacucho,32,32,32,32,32,47,32,32,37,32,37,22
buenos aires,partido Azul,42,42,42,42,42,37,42,42,37,27,42,37
buenos aires,partido Bahía Blanca,22,22,22,22,22,67,32,22,67,22,22,67
buenos aires,partido Balcarce,42,42,42,42,62,32,42,52,42,22,62,32
buenos aires,partido Baradero,22,22,22,22,42,32,22,42,32,22,42,42
buenos aires,partido Benito Juárez,42,42,42,42,67,42,47,67,42,42,57,32
buenos aires,partido Berazategui,22,22,22,22,67,72,22,67,57,22,62,72
buenos aires,partido Berisso,22,22,22,22,57,32,22,62,32,22,57,32
buenos aires,partido Bolívar,32,32,42,42,37,37,32,37,37,42,32,27
buenos aires,partido Bragado,42,42,42,42,42,42,42,42,42,42,42,42
buenos aires,partido Brandsen,22,37,22,22,47,32,22,42,32,22,47,47
buenos aires,partido Campana,22,22,22,22,62,37,22,62,37,22,67,37
buenos aires,partido Cañuelas,32,37,32,22,47,37,22,47,37,22,47,37
buenos aires,partido Capitán Sarmiento,42,42,42,42,42,32,42,42,47,22,42,32
buenos aires,partido Carlos Casares,42,42,27,42,32,37,42,32,37,27,27,27
buenos aires,partido Carlos Tejedor,47,47,42,47,42,37,37,47,47,47,37,37
buenos aires,partido Carmen de Areco,42,42,22,22,37,42,42,42,42,22,37,42
buenos aires,partido Castelli,22,22,22,22,42,37,22,22,37,22,37,22
buenos aires,partido Chacabuco,42,42,42,42,42,37,42,42,37,22,42,37
buenos aires,partido Chascomús,42,42,42,42,42,32,42,42,42,42,62,32
buenos aires,partido Chivilcoy,42,42,42,42,42,32,42,42,32,42,42,32
buenos aires,partido Colón,22,32,22,22,42,27,22,42,32,22,42,27
buenos aires,partido Coronel de Marina Leonardo Rosales,22,42,22,22,47,77,22,27,77,22,47,77
buenos aires,partido Coronel Dorrego,42,42,42,42,42,22,42,42,22,32,47,52
buenos aires,partido Coronel Pringles,32,32,32,32,42,47,27,42,27,32,27,47
buenos aires,partido Coronel Suárez,32,37,32,32,42,37,37,47,37,32,42,32
buenos aires,partido Daireaux,42,42,32,42,42,32,42,42,32,32,52,32
buenos aires,partido Dolores,22,42,22,22,47,37,27,47,37,22,42,22
buenos aires,partido Ensenada,22,22,22,22,67,47,22,62,47,22,67,27
buenos aires,partido Escobar,42,42,22,22,57,37,22,47,37,22,57,37
buenos aires,partido Esteban Echeverría,27,27,22,22,62,37,22,62,37,22,62,37
buenos aires,partido Exaltación de la Cruz,42,42,42,22,47,42,22,47,32,22,42,42
buenos aires,partido Ezeiza,22,27,22,22,42,37,22,42,37,22,42,37
buenos aires,partido Florencio Varela,22,22,22,22,62,37,22,62,37,22,57,37
buenos aires,partido Florentino Ameghino,27,27,22,27,42,27,27,42,27,22,37,32
buenos aires,partido General Alvarado,42,42,22,22,67,77,42,67,72,22,67,77
buenos aires,partido General Alvear,32,32,42,27,32,32,32,32,42,42,32,72
buenos aires,partido General Arenales,42,42,37,42,32,42,42,37,42,37,32,37
buenos aires,partido General Belgrano,42,42,42,42,42,37,42,67,37,42,42,37
buenos aires,partido General Guido,32,37,42,37,47,32,37,82,32,42,47,22
buenos aires,partido General Juan Madariaga,42,42,32,22,42,42,42,42,42,22,47,32
buenos aires,partido General La Madrid,42,42,42,42,47,22,27,37,42,42,47,22
buenos aires,partido General Las Heras,22,22,32,22,62,27,22,47,27,32,62,32
buenos aires,partido General Lavalle,42,42,42,42,37,72,42,47,72,42,37,77
buenos aires,partido General Paz,42,42,22,22,42,67,42,42,52,22,57,27
buenos aires,partido General Pinto,22,22,27,22,47,32,22,47,32,22,42,42
buenos aires,partido General Pueyrredón,42,42,22,22,62,72,22,67,77,22,62,72
buenos aires,partido General Rodríguez,32,32,37,22,42,37,22,42,32,22,42,37
buenos aires,partido General San Martín,32,42,32,22,67,37,27,67,37,22,57,37
buenos aires,partido General Viamonte,42,42,42,42,32,32,27,22,22,42,32,32
buenos aires,partido General Villegas,32,27,32,32,42,42,27,47,37,22,32,32
buenos aires,partido Guaminí,42,42,42,42,42,32,42,42,37,42,42,32
buenos aires,partido Hipólito Yrigoyen,32,32,27,47,32,32,47,52,37,27,42,67
buenos aires,partido Hurlingham,22,42,22,22,67,72,22,67,72,22,67,72
buenos aires,partido Ituzaingó,42,42,42,42,67,72,42,72,72,22,57,72
buenos aires,partido José C. paz,22,27,22,22,67,37,22,67,37,22,62,37
buenos aires,partido Junín,42,42,42,42,42,32,42,67,42,42,42,32
buenos aires,partido La Costa,32,32,32,22,67,37,22,67,32,22,67,37
buenos aires,partido La Matanza,27,27,27,27,67,37,27,67,37,22,57,37
buenos aires,partido Lanús,42,42,42,42,62,37,42,67,37,22,42,32
buenos aires,partido La Plata,22,22,22,22,27,32,22,27,32,22,27,32
buenos aires,partido Laprida,42,37,42,27,42,37,37,47,47,42,42,37
buenos aires,partido Las Flores,42,42,42,42,37,32,42,27,42,42,37,52
buenos aires,partido Leandro N. alem,42,42,42,42,42,37,42,42,52,42,57,37
buenos aires,partido Lezama,32,32,32,32,52,32,32,52,37,42,32,32
buenos aires,partido Lincoln,42,42,42,42,42,32,42,42,42,42,32,32
buenos aires,partido Lobería,32,32,32,32,32,27,32,32,32,32,42,27
buenos aires,partido Lobos,42,42,22,22,47,37,42,47,37,22,42,37
buenos aires,partido Lomas de Zamora,32,32,32,22,67,37,27,67,32,22,62,37
buenos aires,partido Luján,42,42,42,22,42,37,27,42,37,22,42,37
buenos aires,partido Magdalena,27,27,27,27,27,37,27,27,37,27,27,37
buenos aires,partido Maipú,37,32,37,37,32,32,37,32,37,37,37,32
buenos aires,partido Malvinas Argentinas,22,22,22,22,62,37,22,67,37,22,62,37
buenos aires,partido Mar Chiquita,42,42,42,42,62,72,42,67,37,42,37,72
buenos aires,partido Marcos Paz,27,27,22,22,57,37,22,57,37,22,57,37
buenos aires,partido Mercedes,37,37,22,22,22,37,37,37,32,22,22,37
buenos aires,partido Merlo,27,27,22,22,67,37,22,67,37,22,67,37
buenos aires,partido Monte,42,42,32,42,42,37,42,42,37,32,42,32
buenos aires,partido Monte Hermoso,42,42,32,42,27,37,42,27,37,32,57,37
buenos aires,partido Moreno,27,27,27,22,62,37,22,67,32,22,62,37
buenos aires,partido Morón,42,42,42,42,67,77,42,72,77,32,62,72
buenos aires,partido Navarro,32,32,27,32,42,37,32,42,37,32,27,22
buenos aires,partido Necochea,42,42,42,42,57,72,42,57,72,42,67,72
buenos aires,partido 9 de Julio,42,42,42,42,32,32,42,37,32,22,32,32
buenos aires,partido Olavarría,22,42,22,22,32,37,22,42,32,22,32,37
buenos aires,partido Patagones,32,32,32,27,37,37,27,37,42,27,37,37
buenos aires,partido Pehuajó,32,32,32,32,32,27,27,32,22,32,32,27
buenos aires,partido Pellegrini,32,32,27,22,47,32,32,32,27,27,47,32
buenos aires,partido Pergamino,37,37,37,32,42,37,32,62,37,32,47,37
buenos aires,partido Pila,32,32,22,22,32,37,27,42,37,22,32,37
buenos aires,partido Pilar,22,22,22,22,52,37,22,52,37,22,52,37
buenos aires,partido Pinamar,42,42,37,22,42,37,22,42,37,22,27,32
buenos aires,partido Presidente Perón,22,22,22,22,57,37,22,57,37,22,62,37
buenos aires,partido Puan,42,42,32,42,32,22,42,27,37,57,32,72
buenos aires,partido Punta Indio,27,32,22,42,27,32,42,27,32,22,57,32
buenos aires,partido Quilmes,27,27,22,22,67,37,22,67,37,22,62,37
buenos aires,partido Ramallo,27,27,27,27,47,27,27,42,32,22,47,27
buenos aires,partido Rauch,42,42,22,42,37,37,42,42,37,22,37,32
buenos aires,partido Rivadavia,27,32,27,27,32,37,27,32,37,27,32,37
buenos aires,partido Rojas,42,42,37,37,42,37,42,42,42,22,42,47
buenos aires,partido Roque Pérez,32,32,32,22,37,37,42,37,47,22,32,37
buenos aires,partido Saavedra,42,42,42,42,27,47,42,32,32,42,27,22
buenos aires,partido Saladillo,42,42,42,42,37,32,42,37,32,42,42,32
buenos aires,partido Salliqueló,42,42,42,42,52,47,47,52,52,42,27,47
buenos aires,partido Salto,32,27,32,22,37,37,27,47,27,22,37,37
buenos aires,partido San Andrés de Giles,32,27,22,22,42,37,27,42,37,22,37,42
buenos aires,partido San Antonio de Areco,37,37,42,37,42,32,32,57,32,22,42,42
buenos aires,partido San Cayetano,47,47,27,47,22,37,47,22,37,27,72,22
buenos aires,partido San Fernando,27,32,27,27,67,37,27,67,42,22,62,37
buenos aires,partido San Isidro,42,47,22,22,62,77,42,62,77,22,62,77
buenos aires,partido San Miguel,27,27,27,27,67,37,27,67,37,22,62,32
buenos aires,partido San Nicolás,42,42,42,22,67,72,42,67,72,22,62,37
buenos aires,partido San Pedro,22,27,22,22,57,32,22,42,37,22,62,32
buenos aires,partido San Vicente,22,32,22,22,42,37,22,42,37,22,42,37
buenos aires,partido Suipacha,32,32,42,32,52,42,32,52,42,22,42,37
buenos aires,partido Tandil,42,42,22,42,42,32,42,42,32,22,47,37
buenos aires,partido Tapalqué,22,22,22,22,42,32,22,42,67,22,52,27
buenos aires,partido Tigre,22,42,22,22,47,37,22,47,37,22,47,37
buenos aires,partido Tordillo,22,27,22,32,42,22,27,42,22,22,27,22
buenos aires,partido Tornquist,37,37,37,37,62,62,37,62,62,37,72,62
buenos aires,partido Trenque Lauquen,32,32,42,32,42,32,32,37,32,42,42,32
buenos aires,partido Tres Arroyos,42,42,42,42,42,72,42,42,37,42,37,72
buenos aires,partido Tres de Febrero,42,42,42,27,67,32,32,67,32,22,62,32
buenos aires,partido Tres Lomas,32,32,32,32,42,27,32,37,32,32,42,27
buenos aires,partido 25 de Mayo,32,42,32,32,32,32,42,52,32,32,32,32
buenos aires,partido Vicente López,42,47,42,42,47,32,42,47,32,42,47,32
buenos aires,partido Villa Gesell,42,42,32,22,62,37,27,62,37,22,42,37
buenos aires,partido Villarino,27,27,27,27,42,42,27,42,42,27,42,42
buenos aires,partido Zárate,22,22,22,22,42,42,22,62,37,22,42,42
ciudad autonoma de buenos aires,Comuna 1,27,27,27,22,32,32,22,32,32,22,32,32
ciudad autonoma de buenos aires,Comuna 2,22,22,22,22,22,27,22,22,27,22,22,27
ciudad autonoma de buenos aires,Comuna 3,32,32,32,22,32,32,22,32,32,22,32,32
ciudad autonoma de buenos aires,Comuna 4,32,32,32,22,42,32,22,42,32,22,42,32
ciudad autonoma de buenos aires,Comuna 5,32,32,32,37,37,32,42,32,32,37,37,32
ciudad autonoma de buenos aires,Comuna 6,37,42,37,42,42,32,42,42,32,37,37,32
ciudad autonoma de buenos aires,Comuna 7,32,42,32,22,42,32,42,62,32,22,47,32
ciudad autonoma de buenos aires,Comuna 8,22,22,22,22,57,37,22,57,37,22,42,37
ciudad autonoma de buenos aires,Comuna 9,42,42,42,22,42,32,22,67,32,22,42,32
ciudad autonoma de buenos aires,Comuna 10,42,42,42,42,42,32,47,62,32,42,42,32
ciudad autonoma de buenos aires,Comuna 11,42,42,42,42,42,32,42,47,32,42,42,32
ciudad autonoma de buenos aires,Comuna 12,37,37,37,42,37,32,42,37,32,42,37,32
ciudad autonoma de buenos aires,Comuna 13,32,32,32,47,37,32,47,37,32,47,37,32
ciudad autonoma de buenos aires,Comuna 14,32,32,32,32,32,32,27,32,32,32,32,32
ciudad autonoma de buenos aires,Comuna 15,32,32,32,37,37,32,37,32,32,37,37,32
catamarca,departamento Ambato,22,27,22,22,57,22,27,57,42,22,37,22
catamarca,departamento Ancasti,22,22,27,22,42,37,22,42,37,22,37,42
catamarca,departamento Andalgalá,22,22,27,22,42,47,22,42,47,22,47,47
catamarca,departamento Antofagasta de la Sierra,22,22,22,22,27,27,22,22,27,22,27,0
