name,identifier,total,mujer,hombre,total_esta,total_otra,total_fuera,mujer_esta,mujer_otra,mujer_fuera,hombre_esta,hombre_otra,hombre_fuera,id
buenos aires,adolfo alsina,42,42,37,42,27,32,42,27,37,37,27,32,379.0
buenos aires,adolfo gonzales chaves,42,32,27,27,32,42,32,37,42,27,32,42,135.0
buenos aires,alberti,42,42,32,42,67,37,42,67,47,32,67,37,90.0
buenos aires,almirante brown,27,27,22,22,67,37,22,67,37,22,67,37,89.0
buenos aires,arrecifes,22,22,22,22,42,32,22,42,37,22,42,32,51.0
buenos aires,avellaneda,42,42,32,22,57,37,22,62,37,22,47,37,149.0
buenos aires,ayacucho,32,32,32,32,32,47,32,32,37,32,37,22,123.0
buenos aires,azul,42,42,42,42,42,37,42,42,37,27,42,37,118.0
buenos aires,bahia blanca,22,22,22,22,22,67,32,22,67,22,22,67,139.0
buenos aires,balcarce,42,42,42,42,62,32,42,52,42,22,62,32,134.0
buenos aires,baradero,22,22,22,22,42,32,22,42,32,22,42,42,169.0
buenos aires,benito juarez,42,42,42,42,67,42,47,67,42,42,57,32,132.0
buenos aires,berazategui,22,22,22,22,67,72,22,67,57,22,62,72,148.0
buenos aires,berisso,22,22,22,22,57,32,22,62,32,22,57,32,146.0
buenos aires,bolivar,32,32,42,42,37,37,32,37,37,42,32,27,113.0
buenos aires,bragado,42,42,42,42,42,42,42,42,42,42,42,42,81.0
buenos aires,brandsen,22,37,22,22,47,32,22,42,32,22,47,47,98.0
buenos aires,campana,22,22,22,22,62,37,22,62,37,22,67,37,168.0
buenos aires,canuelas,32,37,32,22,47,37,22,47,37,22,47,37,95.0
buenos aires,capitan sarmiento,42,42,42,42,42,32,42,42,47,22,42,32,54.0
buenos aires,carlos casares,42,42,27,42,32,37,42,32,37,27,27,27,105.0
buenos aires,carlos tejedor,47,47,42,47,42,37,37,47,47,47,37,37,99.0
buenos aires,carmen de areco,42,42,22,22,37,42,42,42,42,22,37,42,57.0
buenos aires,castelli,22,22,22,22,42,37,22,22,37,22,37,22,162.0
buenos aires,chacabuco,42,42,42,42,42,37,42,42,37,22,42,37,63.0
buenos aires,chascomus,42,42,42,42,42,32,42,42,42,42,62,32,145.0
buenos aires,chivilcoy,42,42,42,42,42,32,42,42,32,42,42,32,80.0
buenos aires,colon,22,32,22,22,42,27,22,42,32,22,42,27,175.0
buenos aires,coronel de marina leonardo rosales,22,42,22,22,47,77,22,27,77,22,47,77,138.0
buenos aires,coronel dorrego,42,42,42,42,42,22,42,42,22,32,47,52,141.0
buenos aires,coronel pringles,32,32,32,32,42,47,27,42,27,32,27,47,136.0
buenos aires,coronel suarez,32,37,32,32,42,37,37,47,37,32,42,32,130.0
buenos aires,daireaux,42,42,32,42,42,32,42,42,32,32,52,32,119.0
buenos aires,dolores,22,42,22,22,47,37,27,47,37,22,42,22,116.0
buenos aires,ensenada,22,22,22,22,67,47,22,62,47,22,67,27,147.0
buenos aires,escobar,42,42,22,22,57,37,22,47,37,22,57,37,58.0
buenos aires,esteban echeverria,27,27,22,22,62,37,22,62,37,22,62,37,87.0
buenos aires,exaltacion de la cruz,42,42,42,22,47,42,22,47,32,22,42,42,56.0
buenos aires,ezeiza,22,27,22,22,42,37,22,42,37,22,42,37,88.0
buenos aires,florencio varela,22,22,22,22,62,37,22,62,37,22,57,37,91.0
buenos aires,florentino ameghino,27,27,22,27,42,27,27,42,27,22,37,32,77.0
buenos aires,general alvarado,42,42,22,22,67,77,42,67,72,22,67,77,144.0
buenos aires,general alvear,32,32,42,27,32,32,32,32,42,42,32,72,111.0
buenos aires,general arenales,42,42,37,42,32,42,42,37,42,37,32,37,399.0
buenos aires,general belgrano,42,42,42,42,42,37,42,67,37,42,42,37,109.0
buenos aires,general guido,32,37,42,37,47,32,37,82,32,42,47,22,121.0
buenos aires,general juan madariaga,42,42,32,22,42,42,42,42,42,22,47,32,127.0
buenos aires,general la madrid,42,42,42,42,47,22,27,37,42,42,47,22,129.0
buenos aires,general las heras,22,22,32,22,62,27,22,47,27,32,62,32,86.0
buenos aires,general lavalle,42,42,42,42,37,72,42,47,72,42,37,77,160.0
buenos aires,general paz,42,42,22,22,42,67,42,42,52,22,57,27,102.0
